forme_erronée,forme_correcte
EXCORI»0MS,EXCURSIONS
-/>ie,Die
,-Ç-HEZ,CHEZ
,lc,Je
;l),1)
?crit,écrit
.’erres,terres
.\insi,Ainsi
.\risto(,Aristot
.\ristOl,Aristot
.\thènes,Athènes
.Alusée,Musée
.ijoulcr,ajouter
.ilialtait,abbatait
.inlliol,Anthol
.l'ni,J’ai
.loannès,Ioannès
.Mexandre,Alexandre
.Te,Je
.Vristote,Aristote
erres,terres
i'hésée,Thésée
J'afel,Tafel
«•onsidère,considère
«ivSisaltioDS,civilisations
«jue,que
«le,de
«les,des
«leux,deux
«pie,que
(;onsacrer,consacrer
(?dilice,édifice
(.Umee,(Musée
('-levées,élevées
('.elle,Cette
('(‘Ile,cette
('dèves,élèves
('Ile,elle
('J'afel,(Tafel
('ssnve,essaye
((ue,que
()n,On
([u'il,qu’il
([ualilés,qualités
([ue,que
([ui,qui
(]u'ils,qu’ils
(]ui,qui
(}ymnastik,Gymnastik
(•onsacré,consacré
(|n'un,qu’un
(|u'il,qu’il
(|u'on,qu’on
(|u’il,qu’il
(|u"il,qu’il
(|u"on,qu’on
(|uc,que
(|ue,que
(|uelle,quelle
(|ui,qui
(►as,pas
(cxle,texte
(Ditteubergcr,(Dittenberger
(dles,elles
(emps,temps
(erres,terres
(erres-cuites,Terres-cuites
(exles,textes
(ïig,(fig
(iirard,Girard
(iirigfé,dirigé
(Irascr,Graser
(îrascr,Graser
(irasor,Graser
(Iréau,Gréau
(Irèce,Grèce
(irecs,Grecs
(îrecs,Grecs
(ixe,fixe
(ixei-,fixer
(Jècomhre,décembre
(jiii,qui
(ju'cn,qu’en
(ju'elle,qu’elle
(ju'il,qu’il
(juaiid,quand
(juc,que
(jue,que
(Juellcs,Quelles
(Juelques,quelques-uns
(jui,qui
(jui,,qui,
(jui!let).,(juillet).
(Juichcrat,Quicherat
(l'est,c’est
(laioles,paroles
(le,de
(les,Ces
(leuzey,Heuzey
(levait,devait
(luelle,quelle
(o'i,qui
(oui,tout
(oule,toute
(pi'on,qu’on
(pi’il,qu’il
(pic,que
(pie,que
(pielcompie,quelconque
(pielque-,quelque-
(pii,qui
(pmi,quoi
(pu,qui
(pudipies-uns,Quelques-uns
(R^vue-,(Revue-
(ravail,travail
(rière,trière
(soele,(socle
(Uiltenberger,(Dittenberger
[)as,pas
[larut,parut
[MUlheilungen,Mittheilungen
])Ourrait,pourrait
])rincipaux,principaux
]\ladame,Madame
]iar,par
{\Vinckelmannsproyranim\l),(Winckelmannsprogramm II)
{jue,que
{ScAéiemaim's,(Schliemann’s
/erres,terres
/es,les
/Iftenij^,Athènes)
/trononré,prononcé
\’oir,voir
\(ius,vous
\6ni6,vérité
\ase,vase
\oir,voir
\pollon,Apollon
&ur,sur
^«ncien,ancien
^érudition,l’érudition
^ogrès,progrès
^oii,où
^our,pour
^ployee,éployée
^re,ère
^tait,était
^talds,étalés
^te,été
^tre,être
^tres,êtres
<'n,en
<«‘lle,celle
<]ne,que
<]ui,qui
</’Athènes,d’Athènes
<^enre,genre
<^ràcc,grâce
<^ràce,grâce
<|n,qu’
<|n iI,qu’il
<|ne,que
<Ies,des
<jiii,qui
<jiio,que
<jue,que
<jui,qui
<lcstiuées,destinées
<le,de
<leux,deux
<lu,du
<pie,que
<pii,qui
|)ar,par
|)as,pas
|)eul-étre,Peut-être
|)lace,place
|)lns,plus
|)lus,plus
|)olaiiiie,potamie
|)rocédé,procédé
|>,is,pas
|>ennellaul,permettent
|Bicu^§ioNS,Excursions
|ioinl,point
$>ouvenirs,souvenirs
€tres,êtres
1’Ksl,l’Est
6t6,été
6x6,été
8chwegler,Schwegler
8TATUBB,STATUES
8TATUBS,STATUES
8ur,Sur
â,à
Â,à
a-ait,avait
a-l-elle,a-t-elle
A'ases,vases
A'ivent,vivent
a\ail,avait
a\ait,avait
a\oir,avoir
à^^e,âge
Abacns,Abacus
ABCHÉOLOGIOU^,ARCHÉOLOGIQUES
ac/iats,achats
Academie,Académie
academie,Académie
Acale,Attale
accepler,accepter
Accordees,accordées
accrois« sements.,accroissements.
Achilte,Achille
Achitle,Achille
Achitte,Achille
ACIËNCKS,SCIENCES
aciivenieni,activement
acJiats,achats
Acjriculturc,Agriculture
Ackéménides,Achéménides
aclion,action
acqué- rir,acquérir
acqué^rir,acquérir
ad/nirateurs,admirateurs
admelfre,admettre
adnu'ré,admiré
Aeheloos,Acheloos
Afar/a.iin,Magasin
afi'aire,affaire
afsaire,affaire
Ahènes,Athènes
ahsolumenl,absolument
Ai-oir,avoir
aiclieolo-,archéolo-
aicnl,aient
aienl,aient
AIICIIKÔLOliUliS,ARCHÉOLOGUES
aîle,aile
aîles,ailes
àine,âme
âINTRODUCTION,INTRODUCTION
airni's,aimés
aitées,ailées
àl'emplacement,à l'emplacement
àla,à la
Àla,à la
àLa,à la
Alcssanâro,Alessandro
Alcxandros,Alexandros
aleméonides,Alcméonides
Alhen,Athen
Alhener,Athener
Alhi'ua,Athéna
Aliiéniens,Athéniens
allachées,attachées
allaebé,attaché
allcndail,attendait
alle,allé
Alle,Allé
allemandecroitavoirretrouvé,de,allemande croit avoir retrouvé, de
Allerlh,Alterth
Alliénée,Athénée
Allique,Attique
allribulions,attributions
allrihué,attribué
altar- piece,altarpiece
amateui',amateur
amends,amenés
ami'iier,amener
amiliè,amitié
an-d('ssus,au-dessus
analogie»,analogies
ANCIKN,ANCIEN
Anfènge,Anfänge
ANGIEN,ANCIEN
angmenlnnl,augmentant
Aniiq,Antiq
animde,animée
anli'niilén,antiquités
Anliqnae,Antiquae
Anllwl,Anthol
anlres,autres
AnnoUi,Annalli
anntîes,années
anruieul,auraient
anti(|uaii-es,antiquaires
anti(jue,antique
Anticyrc,Anticyre
antif/uités,antiquités
Antlml,Anthol
Anxeiger,Anzeiger
aox,aux
apiès,après
appaiteiiant,appartenant
Appliqud,Appliqué
appnrliennenl,appartiennent
apporlaicul,apportaient
apporle,apporte
apprcLaient,apprétaient
approxi-mulive,approximative
Ar^ertissement,Avertissement
arbilraire,arbitraire
arc/tc'olo<^i/e,archéologue
arcbéologique,archéologique
archceologischen,archaeologischen
Archceology,Archaeology
archdologue,archéologue
ARCHÉOLOGiaUES,ARCHÉOLOGIQUES
archeologique^,archéologique
ARCHÉOU,ARCHÉOLOGIQUES
architectoni-(jue,architectonique
Arcli,Arch
arcli,arch
arclr,arch
ardeoibe,ardente
arec,avec
ÂRGHÉ0L06iQ0SS,ARCHÉOLOGIQUES
arhilraire,arbitraire
arislocratiiiuc,aristocratique
Arislote,Aristote
aristcxTatiqiK',aristocratique
Arjnes,Armes
arl,art
arlicle,article
arls,arts
ARMORlAL,ARMORIAL
arristique,artistique
artisice,artifice
ase,vase
àse,à se
Asin,afin
àSolon,à Solon
asse/,assez
assur^ment,assurément
assurénuMil,assurément
Atale,Attale
Atcale,Attale
àthènes,Athènes
ATI,AUX
atissi,aussi
Atlalides,Attalides
atlcnlion,attention
attacbe,attache
attiqiie,attique
ATTlQIIES,ATTIQUES
au- tre,autre
au- tres,autres
au. tre,autre
au.v,aux
Aufènge,Anfänge
aujoiird'hui,aujourd’hui
