Erreur	Correction	Fréquence	
mariendal	marginal	1 
tgb	tib	1 
fols	fois	1 
p	p	1 
i	i	1 
jean-ffançois	jean-françois	1 
lxxxîií	xxxîií	1 
mariendal	marginal	1 
frankner	franklin	1 
fous	fous	1 
dumond	dumont	1 
frankner	franklin	1 
fous	fous	1 
elaï	elaï	1 
’mjl2lxjê3stmjlx	’mal2lxê3stimul	1 
b	b	1 
k	k	1 
devotre	votre	1 
enfans	enfans	1 
mon	mon	1 
jl	l	1 
i	i	1 
fuis	fois	1 
jjris	joris	1 
affectons	affections	1 
i	i	1 
b	b	2 
b	b	2 
s’affeyent)	s’affluent)	1 
eonnoissez	connaissez	1 
l’àllemagne	l’àallemagne	1 
connoit	connait	1 
sentimens	sentiment	1 
osoit	soit	1 
déguiserai	déguiser	1 
íjïqus	íjïque	1 
terrest	terres	1 
fur	fur	1 
quedes	queues	1 
donnòit	donnòit	1 
seroit	serait	1 
n’étoit	n’étoit	1 
c’étoit	c’étoit	1 
paroître	paroître	1 
ramppient	rappelant	1 
inpndoient	incendient	1 
aij	ais	1 
seroit	serait	1 
îa	îa	1 
touc	tout	1 
furtóbéissance	futóbéissance	1 
penchans	penchant	1 
h	h	1 
v	v	1 
k	k	1 
ii	ii	1 
concouriç	concoursç	1 
b	b	1 
fuis	fois	1 
fur	fur	1 
attendois	attendons	1 
j’avois’	j’avais’	1 
me	me	1 
souffrirois	souffrirait	1 
enfans	enfans	1 
b	b	1 
pouvois-je	pouvais-je	1 
enfans	enfans	1 
n’étoit	n’étoit	1 
n’oseroient	n’oseraient	1 
s’estimeront	s’estiment	1 
fût	fût	1 
b	b	1 
labaronne	abandonne	1 
tort	tort	1 
poursuivoient	poursuivaient	1 
labaronne	abandonne	1 
b	b	1 
connoît	connoît	1 
b	b	1 
plût	plût	1 
b	b	1 
aiv	ais	1 
ah	ah	1 
seroit	serait	2 
avoit	avoit	1 
seroit	serait	2 
ferois	ferons	1 
quetinutîle"abonde	questionîle"abonde	1 
auffi	suffi	1 
négocians	négociant	1 
b	b	1 
labaronne	abandonne	1 
cuisans	cuisant	1 
j’aurois	j’aurais	1 
foiblesse	faiblesse	1 
