Erreur	Correction	Fréquence	
ca_000001_001	ca_000001_001	1 
hautefeuuu21	hautefeuuu21	1 
gratiolet	gratiolet	1 
philomathique	philomathique	1 
kl	il	1 
rertrand	bertrand	1 
arthus	arthur	1 
tlde-naturauste	tlde-naturauste	1 
chevreul	chevreuil	1 
ú	a	1 
õãøø	õãøø	1 
’aìmnration	’aìmnration	1 
õø	de	1 
õãùèõ	õãùèõ	1 
òt	et	1 
scibili	simili	1 
bornant	bordant	1 
s’accordent	accordent	1 
avant-propos	avant-propos	1 
ixion	idiot	1 
s’élever	élever	1 
s’être	être	1 
ai-je	aime	1 
scissure	fissure	3 
très-petit	très-petit	1 
vëléphant	éléphant	1 
m’ont	mont	1 
fund	fond	1 
hapalinés	hapalinés	1 
makis	mais	1 
sylvius	sylvia	2 
oiïrons	irons	1 
non-seulement	non-seulement	1 
alouattes	alouettes	1 
colobes	colombes	1 
sakis	sais	1 
m’offrait	offrait	1 
m’a	ma	1 
carnassiers	cardassiens	1 
aujourd’hui	aujourdhui	1 
insectivores	insectivores	1 
etc,	etc	1 
makis	mais	2 
aborderons-nous	aborderons-nous	1 
monographies	monographie	1 
yoilà	voilà	1 
aujourd’hui	aujourdhui	1 
m’honore	honore	1 
laurillard	laurillard	1 
m’éclairer	éclairer	1 
duvernoy	duvernoy	1 
tutius	tutus	1 
gyrosque	gyrosque	1 
primâtes	primates	1 
vésale	vénale	1 
quelques-uns	quelques-uns	1 
periculum	periculum	1 
habet	habit	1 
ruptionis	éruptions	1 
turgescit	turgescit	1 
cerebri	celebre	2 
asini	fini	1 
esertim	sertie	1 
eum	eu	1 
usu	su	1 
calvaria	calvaire	1 
anatomistes	anatomiques	1 
galien	alien	1 
intestinorum	intestinorum	1 
reformata	reformater	1 
vasa	vas	1 
anatomia	anatomie	1 
atque	que	1 
cerebrum	cerebrum	1 
habeant	habitant	1 
barth,	bart	1 
hos	vos	1 
anfractus	infarctus	1 
externa	externe	1 
intellectum	intellectuel	1 
vel	tel	1 
absque	basque	1 
§	a	1 
distribu-	distribue	1 
instar	instant	1 
factos	facto	1 
levitatem	levitatem	1 
varias	vargas	1 
superficies	superficiel	1 
ê	a	1 
aristoteles	aristoteles	1 
assiduo	assidu	1 
plenilunio	plenilunio	1 
1656).	1656)	1 
bartholin	bartholin	2 
dicendum	bibendum	1 
érasistrate	érasistrate	1 
esset	essex	1 
voluit	volait	1 
ducerentur	ducerentur	1 
motu	mot	1 
anfractuosa	anfractuosa	1 
erasis-trato	erasis-trato	1 
quos	quoi	1 
circonvolutiones	circonvolutions	1 
aliiputant	aliiputant	1 
ïåñ	ïun	3 
esse	cesse	1 
